,time_5000,time_2000,time_10000,adaptive rowing category,age,height,weight,weight_class,profile_id
52090,1069.2,414.4,2254.2,able,44,185.4,86.2,H,1367521
52113,1257.7,462.5,2617.0,able,52,170.2,85.3,H,1367611
52116,1208.9,475.5,2559.4,able,39,177.8,81.6,H,1367630
52134,1202.9,455.7,2504.6,able,33,177.8,89.8,H,1367718
52150,1444.9,568.1,3125.2,able,55,154.9,51.3,L,1367813
52158,1125.1,433.0,2312.8,able,36,172.7,100.7,H,1367853
52171,1360.3,504.9,2907.8,able,48,177.8,83.0,H,1367958
52175,1036.6,389.8,2173.8,able,50,193.0,108.0,H,1367986
52207,1133.5,419.0,2392.9,able,16,180.3,63.5,L,1368197
52217,1153.1,435.9,2338.0,able,45,182.9,74.8,H,1368226
52221,1457.7,573.0,3662.9,able,57,180.3,89.8,H,1368240
52222,1156.3,456.1,2567.8,able,38,185.4,81.6,H,1368248
52225,1148.8,464.2,2332.7,able,45,175.3,83.9,H,1368263
52230,1327.0,524.1,2732.0,able,40,167.6,64.4,H,1368297
52245,1167.8,441.3,2401.2,able,35,180.3,93.0,H,1368403
52249,1183.0,453.2,2441.5,able,60,182.9,84.8,H,1368418
52250,1097.4,414.8,2248.4,able,30,182.9,93.0,H,1368419
52256,1218.0,399.5,2340.9,able,39,190.5,99.8,H,1368446
52292,1184.6,465.9,2497.8,able,46,195.6,93.9,H,1368687
52296,1149.2,456.9,2483.8,able,34,182.9,113.4,H,1368713
52334,1166.5,434.2,2426.0,able,51,195.6,94.8,H,1368958
52371,1370.7,505.7,2788.2,able,68,175.3,112.0,H,1369247
52378,1136.4,419.1,2493.4,able,43,185.4,115.7,H,1369326
52395,1505.8,539.9,3183.4,able,56,175.3,92.1,H,1369456
52412,1494.0,562.9,4549.3,able,41,165.1,86.2,H,1369625
52417,2100.0,797.0,5129.0,able,78,172.7,122.5,H,1369714
52435,1301.3,565.3,2688.7,able,43,180.3,92.5,H,1369964
52459,1172.0,430.9,2575.7,able,28,175.3,78.5,H,1370097
52473,1179.1,441.1,2398.0,able,63,188.0,90.7,H,1370188
52475,1112.2,422.5,2281.0,able,35,180.3,70.8,L,1370203
52496,1216.7,470.5,2564.7,able,39,177.8,132.9,H,1370397
52511,1191.9,451.3,2493.9,able,44,180.3,89.8,H,1370497
52522,1419.2,510.8,2965.4,able,37,162.6,54.9,L,1370553
52524,1107.6,426.7,2303.9,able,50,188.0,111.1,H,1370577
52527,1235.0,471.0,2515.1,able,51,172.7,83.9,H,1370600
52531,1223.6,474.6,2509.6,able,61,175.3,70.3,L,1370626
52539,1290.2,514.0,2546.1,able,39,172.7,74.8,L,1370693
52552,1139.8,454.9,2337.2,able,48,185.4,81.6,H,1370780
52554,1194.0,473.9,2466.8,able,41,182.9,89.8,H,1370803
52560,1315.7,497.2,2782.7,able,54,175.3,81.6,H,1370841
52564,1166.5,434.6,2511.1,able,44,177.8,74.8,L,1370888
52610,1195.2,463.7,2561.6,able,36,182.9,100.7,H,1371178
52618,1167.9,447.0,2400.4,able,51,185.4,92.1,H,1371219
52633,1245.3,492.0,2626.4,able,46,177.8,65.3,L,1371310
52637,1311.0,478.8,2799.9,able,38,175.3,96.6,H,1371317
52639,1261.6,491.2,2517.2,PR3 (PD),48,182.9,98.0,H,1371324
52642,1106.8,439.3,2309.9,able,51,182.9,81.6,H,1371337
52644,1169.6,460.4,2399.1,able,50,182.9,99.8,H,1371344
52657,1264.7,414.9,2280.0,able,40,193.0,170.1,H,1371445
52659,1269.4,464.4,2768.4,able,30,160.0,90.7,H,1371473
52662,1355.1,504.6,2795.1,able,56,177.8,82.6,H,1371498
52666,1193.0,468.5,2574.5,able,53,203.2,94.8,H,1371525
52668,1143.4,437.2,2360.5,able,73,185.4,68.0,H,1371528
52693,1146.3,434.1,2353.8,able,47,185.4,73.0,L,1371661
52697,1226.1,454.9,2591.0,able,61,188.0,96.2,H,1371678
52710,1153.8,436.7,2491.1,able,49,188.0,91.6,H,1371788
52734,1309.1,490.6,2597.9,able,45,162.6,61.7,L,1371976
52757,1295.5,435.6,2576.2,able,43,175.3,70.3,L,1372114
52769,1270.2,478.3,2920.0,able,53,185.4,89.8,H,1372176
52796,1209.3,469.3,2544.5,able,51,182.9,92.1,H,1372348
52797,1100.7,416.7,2350.6,able,38,180.3,74.8,L,1372349
52804,1265.2,458.6,2630.8,able,49,177.8,96.2,H,1372420
52809,1159.7,440.1,2353.3,able,45,180.3,88.9,H,1372435
52821,1322.9,494.2,2805.8,able,61,175.3,90.7,H,1372528
52828,1077.0,409.5,2252.6,able,39,182.9,94.8,H,1372567
