,result_1,result_100,result_1000,result_10000,result_100000,result_2000,result_21097,result_30,result_4,result_42195,result_500,result_5000,result_60,result_6000,age,height,weight,weight_class,gender
76,263.0,,251.7,,,543.0,,6435.0,,,118.6,1371.0,,,76,182.9,89.8,H,M
77,,,,2874.9,,,,6739.0,,,,1278.6,13317.0,1596.4,52,180.3,117.9,H,M
78,,,,,,572.7,,,,,,,,,75,177.8,90.3,H,M
79,343.0,15.4,,2305.4,,419.1,,,,,89.5,1104.6,,,53,180.3,97.1,H,M
81,,16.0,,2546.7,,474.1,,7182.0,,,90.8,1214.1,13114.0,1526.8,45,182.9,122.5,H,M
82,,,,,,454.9,,7567.0,,,,1179.9,,,64,,73.5,L,M
83,,,,,,,,,,,116.9,,,,61,175.3,57.2,L,F
84,283.0,19.5,266.7,2880.7,,546.8,,6328.0,,,115.8,1409.2,12419.0,1709.6,74,180.3,86.2,H,M
85,,,,3163.3,,,,6573.0,,,,1369.5,11320.0,1912.5,66,,107.0,H,M
86,,,,,,579.0,,,,,,,,,65,170.2,89.4,H,M
87,,,,2365.9,,,5140.3,,,,,1153.2,,,63,172.7,75.8,H,M
88,,,,,,,,7527.0,,,,,,,40,175.3,89.8,H,M
89,298.0,,227.4,2642.3,,468.3,6064.6,6959.0,1052.0,11758.7,106.8,1262.7,13190.0,1517.0,73,177.8,66.2,L,M
90,,,,2625.9,,474.9,,7120.0,,,105.9,1259.1,,,65,,75.8,H,M
91,,,,,,,,,,,,1281.4,,,75,,82.1,H,M
92,300.0,,233.4,2608.8,,,,7156.0,,,,,,1469.4,74,188.0,78.5,L,M
93,,,,2392.8,,,,,,,,1152.2,14736.0,,54,,85.3,H,M
94,,,,,,559.2,,,,,,,,,55,177.8,77.1,H,F
95,,,,,,539.5,,5842.0,,,109.2,,,,64,182.9,87.1,H,M
96,,,,,,,,,,,,,,,86,,59.9,H,F
97,,18.5,,,,509.3,,6717.0,,,113.4,1332.9,,,55,180.3,93.9,H,M
98,,,,,,515.7,,,,,,,,,61,,84.4,H,M
99,270.0,,232.2,2473.2,,465.9,5509.0,,,,,1198.6,14130.0,,60,,69.9,L,M
100,,,,,,,5825.9,6797.0,,,,1354.7,12996.0,,77,170.2,76.2,H,M
101,,,,,,,,,,,,1128.9,,,49,203.2,99.8,H,M
102,,,216.5,2340.7,,442.7,,7620.0,,,,1157.5,15111.0,,61,182.9,68.9,L,M
103,281.0,,230.2,2396.9,,455.8,5149.0,7490.0,1068.0,,110.4,,14786.0,1438.4,60,175.3,70.3,L,M
104,,,,,,477.8,,7030.0,,,,1216.2,,,67,,93.0,H,M
105,,,,2595.4,,,,7004.0,,,,1315.5,13427.0,1565.1,58,,88.0,H,M
106,,,212.8,,,469.8,,7107.0,,,,1253.0,,,50,188.0,122.5,H,M
107,,,,,,,,6839.0,,,,,13212.0,,81,,79.8,H,M
108,,,,,,525.1,,,,,,,,,72,177.8,66.2,L,M
109,,,,,,,,7614.0,,,,,,,59,,79.8,L,M
110,,,,3011.0,,,,6345.0,,,,1422.7,,,58,,72.6,H,M
111,,,199.6,,,,,,,,,,,,43,177.8,72.1,L,M
112,,,258.4,,,,,6012.0,,,,,,,47,,112.9,H,M
113,,,220.6,2534.3,,,,,,,,1252.7,,,71,,95.3,H,M
114,,,193.6,,,,,,,,,1104.5,,1356.2,39,,83.5,H,M
115,,,,2508.0,,,,7029.0,,,,1216.0,,,52,,94.8,H,M
116,,,,2427.6,,,,7552.0,,,,,,,49,188.0,99.3,H,M
117,295.0,,219.6,2486.0,,439.2,5429.7,7220.0,,,,1199.3,,,63,188.0,86.2,H,M
118,,,,2154.8,,,5271.5,,,,,,,,60,193.0,95.3,H,M
119,,,,2408.5,,,5369.9,7503.0,,,100.1,,,,61,,77.1,H,M
120,322.0,,,,,,,7761.0,,,97.5,1162.6,,,40,175.3,67.1,L,M
121,,,,,,,,6815.0,,,,,,,69,,89.8,H,M
122,319.0,17.9,237.0,2728.1,,508.7,6267.8,,,,104.5,1333.2,12424.0,,71,182.9,97.5,H,M
123,329.0,16.8,228.9,,,472.2,,,1052.0,,99.7,1326.1,,,73,177.8,73.5,L,M
124,,,,2317.1,,445.2,,,,,,1135.3,,1378.7,66,185.4,83.9,H,M
125,,,218.6,,,489.5,5875.7,7038.0,1042.0,,,1287.1,,,50,182.9,91.2,H,M
126,,,,,,,,6065.0,,,,1575.0,,,86,,83.9,H,M
127,,,225.9,2386.0,,463.3,5261.6,7555.0,,,107.4,1194.7,14704.0,1425.6,73,188.0,87.1,H,M
128,,,,,,459.0,,7125.0,,,,1218.4,,1574.4,48,,110.2,H,M
130,,,,2534.0,,,5635.0,7023.0,,,,1266.0,,,54,190.5,97.1,H,M
131,356.0,,,,,,,,1089.0,,,,,,49,193.0,104.8,H,M
132,,,,,,536.2,,,,,,1408.0,,1690.0,88,177.8,72.6,L,M
133,,,,,,,6162.6,6754.0,,,,1282.8,,1530.6,54,190.5,110.2,H,M
134,,,283.4,3424.4,,553.9,,6032.0,,,133.2,1544.5,10726.0,1851.0,76,182.9,83.9,H,M
135,,,,,,,,,,,,,,,76,193.0,110.2,H,M
136,321.0,18.1,207.7,,,437.2,,8065.0,1111.0,,94.9,1133.9,,,61,,97.5,H,M
137,,18.8,,2391.1,,456.9,5264.3,7661.0,,,104.2,1166.6,14906.0,1408.6,65,170.2,68.5,L,M
138,360.0,,,,,426.8,5244.1,7843.0,1180.0,11016.6,,1153.0,14915.0,1369.1,57,,86.2,H,M
139,,,209.2,2328.0,,,5211.3,,,,,1111.1,,,63,193.0,95.3,H,M
140,,,,,,,,7540.0,,,,,,,54,180.3,89.8,H,M
141,,,221.7,2544.4,,461.0,5434.8,7209.0,,,104.7,1238.4,14120.0,1483.4,60,172.7,72.6,L,M
142,298.0,19.1,228.2,2443.0,,467.3,,,1007.0,,103.1,1182.6,,1435.6,52,175.3,88.0,H,M
143,,,,,,,,,,,,1321.6,,1583.0,70,,66.2,L,M
144,286.0,,,,,,,,,,107.1,,,,66,,79.8,H,M
145,,,,,,,,6593.0,,,,,,,61,,97.5,H,M
146,,,,2828.9,,506.4,,5639.0,,,,,,,65,193.0,99.8,H,M
147,,,,,,,,,,,,,,1746.8,74,,83.9,H,M
148,,,228.9,2716.5,,464.0,,6730.0,,,,1229.7,,,54,180.3,72.6,L,M
149,,,,2562.8,,464.5,,,,,,1197.3,,,45,,99.8,H,M
150,,,,2699.4,,,,6772.0,,,,1301.0,,,61,188.0,87.1,H,M
151,,,,2235.3,,,,,,,,,,,55,,106.6,H,M
152,,,,2527.6,,451.8,,7517.0,,,,1192.9,13469.0,,50,182.9,75.8,H,M
153,,,,2697.2,,,,,,,,1353.5,,,81,177.8,79.4,H,M
154,,,,,,499.3,,,,,,1406.5,,,57,177.8,118.8,H,M
155,,,,2454.0,,,,7530.0,,12345.0,,1200.2,,,54,190.5,97.5,H,M
156,,,,,,,5629.0,7383.0,,,,,,,59,,92.1,H,M
157,362.0,,,,,,,,,,,,,,65,198.1,122.0,H,M
158,,,,2436.3,,475.7,,,,,88.9,1173.2,,,53,180.3,88.9,H,M
159,,,,,,,,6477.0,,,,1316.0,,,63,,89.8,H,M
160,,,,,,,,6289.0,,,,,,,68,,113.4,H,M
161,,,,,,508.0,,,,,,,,,66,,79.8,H,M
162,324.0,,,,,449.2,,,1131.0,,94.9,,,1466.9,62,188.0,86.2,H,M
163,322.0,17.5,220.9,2497.7,,450.5,5460.8,7308.0,1107.0,,98.7,1218.7,13994.0,1435.8,67,193.0,99.8,H,M
164,,,,,,,5513.3,,,,,,,,60,,91.2,H,M
165,287.0,19.9,224.8,,,458.7,,7251.0,1044.0,,95.0,,,,53,180.3,73.5,L,M
166,,,,,,,,5931.0,,,,,,,76,185.4,98.0,H,M
167,,,,2736.2,,,,6645.0,,,,,12880.0,,73,185.4,74.8,L,M
168,,,,,,,5568.7,,,11295.5,,,,,55,,81.2,H,M
169,,,,,,418.6,,,,,,,,1359.0,54,,87.1,H,M
170,,,199.6,2356.7,,,5123.9,,,11388.5,98.7,1148.5,15032.0,1425.4,50,180.3,90.7,H,M
171,,,289.5,,,,,,,,,,,,54,,66.7,H,F
172,,,,,,,,7259.0,,,,,14317.0,,48,170.2,71.7,L,M
173,,,,,,,,,,,,1252.7,,1512.6,64,,74.8,H,M
174,,,,,,,,,,,115.6,,,,61,175.3,73.5,L,M
175,,,,,,454.5,,,,,,,,,54,185.4,83.9,H,M
176,,,248.1,,,506.3,,,,,129.3,1326.4,,,63,193.0,111.6,H,M
177,,,,2647.0,,,,,,,,,,,47,,78.0,H,F
178,,,,,,385.8,,8561.0,1260.0,,87.4,,,1233.0,46,188.0,73.0,L,M
179,,,,2970.6,,,,5966.0,,,,1580.6,11650.0,,70,182.9,77.6,H,M
180,,,,2379.6,,455.5,,,,,,,,,62,185.4,84.8,H,M
181,,,,2628.1,,,,,,,,1318.5,,,64,177.8,89.8,H,M
182,,,355.3,,,,,,,,,,,,81,172.7,68.0,L,M
183,,,,2685.0,,,,,,,,1307.1,,1566.5,62,175.3,87.1,H,M
184,,,,2679.4,,,,,,,,,12925.0,,56,,94.8,H,M
185,,,,,,,,,,,,1341.0,,,53,180.3,96.6,H,M
186,,,,,,,,6271.0,,,,1454.7,,,64,,80.7,H,M
187,,,198.6,2395.2,,432.9,5312.0,7911.0,,10882.0,90.9,1176.6,14352.0,1381.6,60,193.0,105.7,H,M
188,,,,,,,,,,,,1712.9,,,65,,78.0,H,F
189,284.0,,232.6,2926.7,,,,,,,,1258.1,,1719.7,50,,90.7,H,M
190,,,,,,,,,,,,1271.0,,,58,,99.8,H,M
191,,,,,,,,6354.0,,,,1375.9,,,79,193.0,89.4,H,M
192,,,,2358.1,,433.5,5159.9,,1118.0,10783.1,,1136.5,,,49,185.4,84.8,H,F
193,,,,2375.8,,,,7634.0,,,,1190.0,,1430.0,54,180.3,84.8,H,M
194,,,,,,,,6886.0,,,,,,,53,,93.9,H,M
195,,,,,,,,5441.0,,,,,,,69,177.8,106.6,H,M
196,,,,2320.2,,,,7835.0,,,,,,,58,,89.8,H,M
197,,,,2810.1,,,,6585.0,,,,1379.1,,,66,182.9,82.6,H,M
198,345.0,16.0,202.7,2363.1,,428.1,5211.9,7631.0,1141.0,11015.9,94.2,1143.8,14885.0,1377.1,72,182.9,88.9,H,M
