,result_1,result_100,result_1000,result_10000,result_100000,result_2000,result_21097,result_30,result_4,result_42195,result_500,result_5000,result_60,result_6000,age,height,weight,weight_class,gender
15572,,,,2578.6,,,,,,,,1195.3,,1488.3,40,175.3,75.8,H,M
15573,,,,,,427.1,,7520.0,,,,,,,36,185.4,88.5,H,M
15574,,,,,,400.4,,,1207.0,,,,,1311.3,17,188.0,68.0,L,M
15575,236.0,,268.8,2753.5,,568.7,6168.0,,763.0,,,1375.4,,1672.5,47,182.9,87.1,H,M
15576,,,,,,,,,,,,1193.6,,,37,185.4,86.2,H,M
15577,,,,,,396.6,,,,,,,15537.0,,23,185.4,77.1,L,M
15578,,,209.7,2483.9,,448.0,,,,,,,,,39,,,H,M
15579,,,,2288.1,,,,,,,,,,,55,,,H,M
15580,,,,2340.8,,428.9,5095.6,7705.0,,,,1125.4,14815.0,1369.5,39,177.8,79.8,H,M
15581,,,,,,564.4,,,,,,1444.0,,,61,,,H,M
15582,,,221.7,,,,,,,,,,,,56,193.0,87.1,H,M
15583,,,,,,,,7363.0,,,,,,,54,180.3,83.9,H,M
15584,,,,,,,5895.3,,,,,1256.9,,,47,,,H,M
15585,309.0,,,,,,5453.9,7247.0,,,100.7,,,,61,177.8,82.1,H,M
15586,294.0,,,,,,,,,10921.5,,,,,38,167.6,59.0,L,F
15587,,,,,,,,,,,,1164.5,,,43,,,H,M
15588,235.0,,,,,,,,,,,,,,70,170.2,65.8,L,M
15589,,,,,,,,6208.0,,,120.0,,,,39,180.3,76.2,H,F
15590,350.0,15.3,198.6,,,433.3,,7547.0,,,86.7,1167.5,14805.0,1405.3,45,182.9,73.9,L,M
15591,370.0,,,,,,,8388.0,1249.0,,,,,,32,182.9,86.2,H,M
15592,,,,,,522.1,,5721.0,,,,1531.7,,,47,,,L,M
15593,,,,,,,,6877.0,,,,,,,45,170.2,71.2,L,M
15594,,,184.7,,,397.1,5321.0,,,10540.8,86.3,,14279.0,,34,177.8,83.9,H,M
15595,,,253.3,2877.2,,,,,,,,1376.2,,,77,190.5,87.1,H,M
15596,,,,,,416.9,,,,,,,,,32,180.3,87.1,H,M
15597,,,,2782.6,,,,6797.0,,,,1338.4,,,39,,,L,M
15598,,,244.5,2855.2,,,,,,,,,,,48,,,H,M
15599,,,,,,,,5834.0,,,,,,,55,,,H,M
15600,,,225.4,,,439.5,,7619.0,,,97.5,1178.7,,1421.7,45,188.0,83.9,H,M
15601,,,206.8,2447.2,,414.9,5143.1,8083.0,,10690.6,,,15190.0,1339.6,55,188.0,77.1,H,M
15602,,,,,,,,5338.0,,,,,,,65,167.6,73.9,H,M
15603,360.0,16.0,195.3,2233.9,,,4976.5,7916.0,1223.0,,,1086.9,15401.0,,41,190.5,,H,M
15604,,,,,,,5410.0,,,,,,14237.0,1472.0,29,,,L,F
15605,,,,,,483.7,,,,,,1251.1,,,64,,,H,M
15606,,,,2335.4,,428.6,,,,,,,,,32,177.8,71.2,L,M
15607,,,,2393.3,,435.6,5560.2,7449.0,,12992.0,99.8,1177.0,,,44,185.4,103.0,H,M
15608,,,,,,505.9,,,,,,,,,37,,,H,M
15609,,,,,,,,7034.0,,,,,,,17,,,L,F
15610,,,,,,469.8,,7347.0,,,,,,,18,,,L,M
15611,,,229.8,,,488.2,,,,,,,,,42,170.2,62.1,L,M
15612,,,,,,,,5321.0,,,,,,,67,,,H,M
15613,,,,,,447.2,,,,,,1214.3,,,47,,,H,M
15614,,,203.1,,,,,7754.0,,,,1152.8,14588.0,,54,185.4,74.8,H,M
15615,344.0,16.9,,,,399.2,5055.1,8206.0,1229.0,,88.7,1067.2,,1299.1,40,200.7,88.5,H,M
15616,318.0,,223.7,,,,,,,,113.3,,,1752.9,61,195.6,96.2,H,M
15617,,,,2201.0,,400.8,,,,,87.0,1062.0,,,47,,,H,M
15618,290.0,,227.6,,,487.5,,6852.0,1038.0,,107.0,,,,58,177.8,65.8,L,M
15619,,,,,,468.9,,,,,,,,,41,,,H,M
15620,,,262.1,,,560.1,,6340.0,,,,1393.5,,,66,193.0,82.1,H,M
15621,,,,,,380.2,,,,,87.1,,,,22,188.0,95.3,H,M
15622,335.0,17.3,,2809.6,,416.1,,7069.0,1085.0,,,1170.1,,1478.6,30,182.9,105.7,H,M
15623,,,,,,,,,,,,1157.5,,,37,188.0,107.5,H,M
15624,308.0,,,,,,5447.6,,,,,1174.1,,,27,,,L,F
15625,,,,,,,,,,,,,,1376.8,30,182.9,88.9,H,M
15626,,,,,,,,6336.0,,,113.3,1328.5,,1583.3,59,,,H,M
15627,,,219.6,,,476.4,,,,,112.0,1194.4,,,37,167.6,59.0,L,M
15628,,,,,,,7585.4,,,,,,,2083.3,59,,58.5,H,F
15629,,,,,,426.0,,,,,,,,,40,190.5,93.0,H,M
15630,,,,,,,,7726.0,,,,,,,37,185.4,108.9,H,M
15631,326.0,,,,,,,,,,,,,,36,175.3,79.8,H,F
15632,,,,,,,,8111.0,,,,,,,32,190.5,83.9,H,M
15633,,,,,,,,,,,,1297.4,,,37,160.0,59.0,L,F
15634,,,,,,,,6501.0,,,,,,,53,,,H,M
15635,376.0,14.8,182.9,2228.7,,397.6,4873.9,8192.0,1257.0,11125.0,82.2,1077.2,15654.0,1363.3,34,195.6,89.8,H,M
15636,,,,,,,,6124.0,,,,,,,50,188.0,99.8,H,M
15637,,,249.9,,,548.0,,,,,,,,,58,180.3,94.8,H,M
15638,,,,,,460.8,,,,,102.5,,,,40,182.9,77.1,H,M
15639,313.0,,234.5,2829.7,,485.6,,6854.0,,,,1266.7,,,32,,,H,M
15640,,,185.0,2209.6,,405.7,5153.1,8001.0,,10637.5,84.8,,15668.0,,35,,,H,M
15641,,,,,,488.7,,,,,,1171.7,,,46,180.3,111.1,H,M
15642,,,,,,,,7691.0,,,,,,,39,190.5,104.3,H,M
15643,,,,2276.9,,,5058.0,7964.0,,,,1098.1,15232.0,,44,180.3,78.0,H,M
15644,,,,,,428.7,,,,,,1157.3,,1384.7,55,185.4,81.2,H,M
15645,,,,,,,5492.1,,,,,,,1431.2,55,,,H,M
15646,303.0,,,,,,,,,,,,,,45,188.0,99.8,H,M
15647,330.0,,,,,458.1,,6771.0,,,,,,,21,,,H,M
15648,,,,2909.1,,546.6,,,,,,1411.4,,1861.3,56,172.7,70.8,L,M
15649,339.0,18.0,,2326.4,,409.9,5140.7,,1201.0,10420.3,90.1,,15570.0,1331.4,43,185.4,88.5,H,M
15650,,,,,,,,7332.0,,,,,,,18,182.9,64.4,H,M
15651,,,,,,490.2,,,,,,,,,41,188.0,73.9,L,M
15652,,,,,,,,7038.0,,,,,,,61,,,H,M
15653,,,,,,,,5100.0,,,,,,,66,,,L,F
15654,226.0,,,,,498.6,,,,,,,,,39,177.8,79.4,H,M
15655,,,190.5,,,,,,,,,,,,61,,,H,M
15656,,,,3132.8,,,,,,,,,,,44,,,H,M
15657,,,,,,,,8650.0,,,,,,,39,,,H,M
15658,,,,,,,,7741.0,,,,,,,48,,,H,M
15659,,,,2443.0,,,,,,,,1169.1,,,47,180.3,97.1,H,M
15660,,27.0,,,,,,,,,,,,,61,165.1,49.9,L,F
15661,,,,2778.5,,508.0,6187.5,6648.0,,,,,,,52,165.1,93.9,H,M
15662,,,,,,,,7097.0,,,,,,,37,,,H,M
15663,276.0,,218.2,,,455.8,,7314.0,,,103.7,1199.3,,,50,175.3,61.2,L,F
15664,,17.5,216.5,2394.7,,444.5,5339.7,,1110.0,,98.1,1166.7,,1409.8,61,185.4,96.6,H,M
15665,,,234.6,,,,,,,,,1266.0,,,29,,,H,F
15666,,,,,,468.0,,,,,,,,,45,,,H,M
15667,,,,,,529.9,,5868.0,,,111.0,,,,45,175.3,83.9,H,M
15668,,,,2504.6,,,5688.4,,,,,,14007.0,,60,182.9,91.2,H,M
15669,,,,,,,4621.2,,,9493.1,,,,,24,185.4,,H,M
15670,,,,2580.4,,466.3,,7580.0,,,,1138.5,14159.0,1381.4,47,193.0,93.9,H,M
15671,,,,,,510.9,,,,,,1362.4,,,47,,,L,F
15672,,,,,,456.6,,,,,,,,,48,,,H,M
15673,,,,2453.4,,,5203.7,7725.0,,,,,14626.0,,50,,,H,M
15674,,,,2725.0,,481.8,6291.6,,,,,1274.5,,,60,180.3,93.0,H,M
15675,,,,,,,,5600.0,,,,,,,35,,,H,M
15676,,,217.8,2553.6,,,,,,,,,,,40,,,H,M
15677,,18.7,,,,504.3,5906.7,6794.0,,,,,13333.0,1493.1,46,182.9,92.1,H,M
15678,,,,2530.0,,,,,,,,,,,62,,,H,M
15679,,,210.8,,,420.8,,,,,,,,,32,,,H,M
15680,,,,,,,,7240.0,,,,,,,53,188.0,91.2,H,M
15681,,,,,,,,,,9317.8,,,,,42,190.5,88.9,H,M
15682,,,,,,,,7100.0,,,,,,,40,175.3,82.1,H,M
15683,,,,2422.9,,461.6,,7556.0,,,,1196.4,,,55,195.6,120.2,H,M
15684,341.0,16.5,197.6,2188.5,,418.6,4832.1,,1176.0,,93.0,1069.5,,1295.9,43,180.3,98.0,H,M
15685,,,,,,,,7189.0,,,,,,,51,180.3,88.0,H,M
15686,,,,,,,,6438.0,,,,,,,33,182.9,87.1,H,F
15687,,21.5,237.0,,,,,,,,,,,,46,185.4,82.6,H,M
15688,,,,,,444.6,,7512.0,,,103.0,1174.4,,,52,,,H,M
15689,,,,2474.5,,458.3,5349.6,7435.0,,,,1179.5,,,38,185.4,94.8,H,M
15690,,,,3236.7,,628.4,,,,,,1620.9,,,56,165.1,81.6,H,M
15691,251.0,22.2,278.3,2990.9,,553.9,6238.7,6063.0,967.0,14078.7,125.3,1392.0,11831.0,1787.7,65,165.1,55.8,L,M
15692,,,,,,428.7,5535.0,7689.0,,,,,,,55,182.9,84.8,H,M
15693,319.0,16.4,202.1,2299.0,,437.0,5598.7,,1128.0,,92.5,,,,48,177.8,87.1,H,M
15694,,,,,,,5128.8,7484.0,,,,1207.7,,,39,185.4,91.2,H,M
15695,,,,2359.6,,,,,,,,,,,44,188.0,96.2,H,M
15696,307.0,,,,,,,,,,100.7,1363.4,,,43,,,H,F
15697,312.0,,,2739.1,,,,,,,,1344.3,,1673.2,53,182.9,82.1,H,M
15698,,,,2432.1,,422.2,,7868.0,,,,,14432.0,1324.8,20,,,H,F
15699,321.0,,,,,,,7250.0,,,,,,,33,177.8,83.9,H,M
15700,,,,,,,,7592.0,,,,1187.0,,,51,,,H,M
15701,,,,,,,,,,,,1119.5,,,45,182.9,80.3,H,M
15702,326.0,,,,,,,7574.0,,,,,,,68,,,H,M
15703,,,,2622.1,,,,,,,,,,,47,180.3,87.1,H,M
15704,,,,3568.7,,,,,,,,,,,43,,,L,M
15705,,,,2599.6,,477.7,,6977.0,,,,1257.2,13412.0,,45,177.8,95.3,H,M
15706,252.0,,,,,,,6177.0,,,120.3,,,,70,182.9,81.6,H,M
15707,,,,,,,,,,,,1475.4,,,61,162.6,67.1,H,F
15708,,,,,,,,6040.0,,,,1393.4,,,62,,,H,M
15709,,,,,,,5148.0,,,,,,,,51,182.9,97.5,H,M
15710,,16.8,,,,,,,,,,1136.8,,,35,,,H,M
15711,,,,2455.4,,448.5,5348.8,,,,,1192.3,,,57,182.9,104.3,H,M
15712,,,,,,451.0,,,,12990.9,,1213.7,,,53,182.9,104.3,H,M
15713,,,200.6,2321.3,,404.7,5367.4,,,,,1108.8,15165.0,1304.1,16,188.0,74.8,L,M
15714,300.0,,231.2,2672.8,,,,6727.0,,,,1279.7,,,34,165.1,63.5,H,F
15715,,,,2157.9,,,,,,,,,,,23,,,H,M
15716,,,221.1,,,,,,,,,,,,48,,,H,M
15717,,,,,,514.5,,,,,,,,,49,182.9,88.9,H,M
15718,,,,2457.8,,,,,,,,,,,37,177.8,106.1,H,M
15719,,,212.7,2436.8,,445.8,5346.3,7146.0,,,97.7,,13538.0,,41,,,H,F
15720,,,,,,560.6,,,,,,1603.3,,,42,,,H,M
15721,,,,2432.4,,,5331.8,,,11553.6,,,,,52,,,H,M
15722,,,,,,,,,,,,1246.8,,,44,,,H,M
15723,,,,,,,7316.5,,,,,,,,44,,,H,F
15724,,,,,,,,,,,,1208.8,,,37,,,H,M
15725,,,,2499.8,,473.1,5630.7,7067.0,,,,1264.7,14096.0,,34,180.3,72.6,L,M
15726,,,193.9,,,,,,,,,1167.9,,,42,188.0,102.1,H,M
15727,317.0,,,,,517.0,,,,,100.9,,,,59,190.5,105.7,H,M
15728,,,,2351.1,,,,7606.0,,,,1146.6,,,46,,,L,M
15729,,,276.6,3096.1,,571.9,,5762.0,,,,1476.4,,1920.0,63,175.3,83.0,H,M
15730,,,,,,503.8,,,,,,,,,67,,,H,M
15731,,,,,,,,,,,,,,,53,,,H,M
15732,283.0,19.0,234.4,2873.7,,,6218.1,6520.0,,,108.0,1306.1,13021.0,1609.8,34,175.3,78.9,H,M
15733,,,,,,,4859.9,,,,,,,,54,,,H,M
15734,,,,,,,,,,,,1161.0,,,61,190.5,99.8,H,M
15735,311.0,,237.4,,,481.6,,,,,,1497.2,,,37,177.8,83.9,H,M
15736,,,,,,,,6715.0,,,,1306.7,,,35,,,H,M
15738,237.0,,,,,,,,,,144.4,,,,70,170.2,62.1,H,F
15739,,,233.1,,,,,6812.0,,,,,,,47,180.3,79.8,H,M
15740,,,,,,432.4,,,,,,,,,28,,,H,M
15741,,,,2338.9,,,,7757.0,,,,1127.2,,,50,175.3,77.1,H,M
15742,,,,,,,,6606.0,,,,,,,61,185.4,87.1,H,M
15743,,,,,,,5733.5,,,,107.4,1221.8,,,68,198.1,97.5,H,M
15744,,,,,,,,6909.0,,,,,,,23,180.3,69.9,L,M
15745,,,221.7,2514.3,,462.1,5373.5,,,,108.2,1226.4,,,51,180.3,113.4,H,M
15746,,18.7,,,,,,6822.0,,,,,,,70,,,H,M
15747,,,252.7,,,473.1,,7126.0,,,,1176.9,,,52,190.5,88.9,H,M
15748,,,,,,,,8252.0,,,,,,,47,,,H,M
15749,351.0,,,,,,,6741.0,1144.0,,,,,,43,190.5,127.0,H,M
15750,,,196.9,,,439.5,,,,,92.0,1180.0,,,48,195.6,112.0,H,M
15751,,,,,,,,7732.0,,,,,,,56,,,H,M
15752,,,277.7,,,,,,,,,,,,30,162.6,54.4,L,F
15753,,,256.6,,,546.5,,6191.0,,,109.9,1428.7,,,59,167.6,73.9,H,M
15754,,,,,,,6496.8,6571.0,,,,,,,32,,,H,M
15755,,,,,29461.0,,,,,,,,,,47,,,H,M
15756,,,218.8,2551.2,,449.9,,7380.0,,,,1194.7,14532.0,1446.8,33,170.2,55.8,L,F
15757,,18.6,231.3,,,501.5,7519.2,,,,115.7,,,,35,,,H,F
15758,,,182.4,2179.3,,390.5,4954.9,,,,,1039.3,,,44,193.0,95.3,H,M
15759,,,,2216.4,,,,8128.0,,,,1128.0,,,59,188.0,93.0,H,M
15760,,,255.7,2554.6,,475.4,5495.8,7154.0,884.0,,128.7,1248.6,13204.0,,48,175.3,72.6,H,M
15761,,,,,,459.3,,,,,,1227.6,,,59,,,H,M
15762,321.0,,,,,,,,,,,,15077.0,1369.9,55,,,H,M
15763,,,277.4,3382.4,,,,,,,,1528.0,,,46,172.7,59.0,L,F
15764,,,,,,,,,,,102.8,,,,37,,,L,M
15765,,,198.3,2224.4,,418.6,,8090.0,,,92.2,1079.6,15682.0,1302.8,37,188.0,86.2,H,M
15766,,,,2086.7,,399.7,,8794.0,,,,1002.2,,1237.2,26,200.7,97.1,H,M
15767,,,,,,,,,,,,,,,29,182.9,96.2,H,M
15768,341.0,,198.0,2254.0,,,4925.0,,,,92.0,1111.6,,1314.1,43,188.0,82.6,H,M
15769,,,,,,462.2,,,,,,,,,23,193.0,99.8,H,M
15770,,,,2433.2,,453.2,,7535.0,,,,1179.1,,1416.3,37,,,H,M
15771,,,,2987.6,,,,,,,,,,,52,,,H,F
15772,,,,,,,,8258.0,,,,,,,27,180.3,,H,M
15773,,,,,,,6067.5,,1004.0,,,,,,40,,,H,M
15774,,,,,,,,,,,,,13919.0,,55,,,H,M
15775,349.0,,,,,,,7738.0,,,,,,,51,182.9,111.1,H,M
15776,,,,,,515.3,,,,,,1323.9,,,41,170.2,109.8,H,M
15777,,,,2785.9,,,,6967.0,,,,,12321.0,,48,,,H,M
15778,,,,,,,,6867.0,,,,,,,41,175.3,89.8,H,M
15780,,,,,,,,,,,,1321.7,,,44,,,H,M
15781,,,,,,,,,,,,1613.8,,,42,,,H,M
15782,,,,,,,,,,,,1128.1,,,51,,,H,M
15783,,,232.4,2400.8,,,,,,,,,,,45,,,H,M
15784,,,,2370.2,,,,,,,,,,,63,,,H,M
15785,,,,2376.0,,,,,,,,,,,40,180.3,94.8,H,M
15786,,,,,,536.1,,,,,,,,,55,185.4,81.2,H,M
15787,,,,,,,,,,12803.0,,,,,39,165.1,77.1,H,F
15788,241.0,,277.8,2919.3,,,6737.3,,,,,1506.5,,1797.1,60,175.3,95.3,H,M
15789,375.0,,183.6,2094.7,,375.1,4584.8,8390.0,,,,1018.2,16741.0,1226.0,19,193.0,81.6,H,M
15790,,,,,,,,6388.0,,,,,,,44,177.8,80.7,H,M
15791,,,,,,501.7,,6489.0,,,117.0,1372.8,,,49,188.0,87.1,H,M
15792,,,,,,449.6,,,,,,,,,33,190.5,86.6,H,M
15793,,,,,,488.8,,6405.0,,,,1342.1,,,41,,,L,M
15794,,,217.2,2638.5,,448.6,5573.4,,,,99.4,1223.2,,,49,,,H,M
15795,,,,,,,,,,,,1324.8,,,53,,,H,M
15796,,,,,,,,7796.0,,,,,,,46,,,H,M
15797,,,,,,,,6666.0,,,,,,,37,177.8,84.8,H,M
15798,,,,,,502.0,,,,,,,,,33,,,H,M
15799,,,,,,,,6037.0,,,,,,,36,,,H,M
15800,,,,,,,5863.5,6332.0,,11807.8,,,,,34,,,L,M
15801,,,,,,,,6762.0,,,,,,,47,162.6,66.2,L,M
15802,,,247.3,,,501.7,,6568.0,,,,1330.1,,,55,172.7,88.9,H,F
15803,,,,,,,,,,,120.0,,,,40,,,H,F
15804,,,212.1,,,,5175.7,,,11096.7,,,,,48,190.5,103.0,H,M
15805,,,,,,,,8106.0,,,,,,,28,,,H,M
15806,,,,,,,,,,,,1284.4,,,50,200.7,83.9,H,M
15807,,,,,,,,6898.0,,,,1232.1,,,37,165.1,68.9,H,F
15808,273.0,,,,,,,,,,,,,,14,,45.4,L,M
15809,351.0,16.0,,2308.4,,409.3,5004.5,8003.0,,,89.9,1091.0,15162.0,,46,,,H,M
15810,,,,,,,,7314.0,,,,,,,47,,,H,M
15811,302.0,,220.4,2568.0,,476.0,,7155.0,,,,1225.0,,1497.0,63,180.3,90.7,H,M
15812,,,283.0,3494.6,,594.2,,,,,135.3,1751.7,10474.0,,49,167.6,60.8,L,F
15813,,,220.2,,,449.8,5614.6,,,,98.3,,,,37,182.9,130.6,H,M
15814,,,,,,,,,,,,1135.4,,,46,,,H,M
15815,,,,,,,,,,,,1289.4,,,60,,,H,M
15816,,,,,,,,,,,,,15000.0,,38,,,H,M
15817,,,,,,,,,,,,1324.4,,,44,188.0,81.2,H,M
15818,250.0,,237.5,,,,7060.1,6570.0,959.0,,127.6,,,,36,180.3,81.6,H,M
15819,207.0,,,,,,,5008.0,680.0,,149.6,,,2137.3,35,152.4,53.5,L,F
15820,,,,2850.0,,,,,,,,1258.0,,,38,177.8,79.4,H,M
15821,,,198.6,2280.8,,,5272.7,,,,84.7,,,,36,188.0,94.3,H,M
15822,,,220.4,,,,,,,,99.8,,,,52,177.8,79.4,H,M
15823,319.0,18.4,219.5,2444.2,,458.5,5653.5,7441.0,1100.0,11829.3,104.2,1167.0,14352.0,1432.7,58,,,H,M
15824,,,,,,,,5185.0,702.0,,,,,,55,,,H,M
15825,,,,,,670.5,,,,,141.9,1646.5,,,48,157.5,86.2,H,F
15826,,,,,,,,7302.0,,,,,,,28,182.9,67.1,H,F
15827,312.0,,,,,504.7,,,,,,,,,45,190.5,115.7,H,M
15828,,,,,,414.5,,,,,,,,,19,172.7,74.4,H,M
15829,,,,,,,,,,,,1279.0,,,47,,,H,M
15830,,,217.0,2795.4,,511.7,,,,,,,,,46,,,H,M
15831,,,210.4,,,,,,,,,,,,41,180.3,88.0,H,M
15832,,17.9,,,,492.7,,,,,,,,,19,165.1,77.1,H,F
15833,,,,,,,,7703.0,,,,,13350.0,,39,,,H,M
15834,,17.3,208.3,2378.0,,434.3,5224.3,7639.0,,,96.7,1139.4,14475.0,,45,177.8,78.9,H,M
15835,252.0,,275.1,3188.8,,,,5719.0,,,164.5,1749.8,,1846.5,56,170.2,64.9,H,F
15836,,,,,,,5392.4,7352.0,,,,,,,61,182.9,,H,M
15837,,,,,,562.0,,,,,,,,,52,,,H,M
15838,,,,,,447.6,,,,,,,,,41,182.9,97.5,H,M
15839,,,,,,456.3,,7290.0,,12042.2,,,,,40,,,H,M
15840,,,,,,,,,,,,1416.7,,,39,170.2,96.6,H,F
15841,,,,,,,,7601.0,,,,,,,47,,,H,M
15842,,,,,,403.5,,8195.0,,,,1066.3,,,52,193.0,87.1,H,M
15843,,,,2355.6,,,,,,,,,,,47,188.0,82.1,H,M
15844,286.0,,223.2,2423.4,,457.6,5424.2,7502.0,971.0,,,1180.6,14422.0,1429.3,68,177.8,68.0,L,M
15845,270.0,,245.0,2903.8,,,,6833.0,,,,,,1739.5,51,188.0,78.5,H,M
15846,,17.8,,2519.9,,,,7043.0,,,,1183.4,,,43,,,H,M
15847,285.0,,,2848.6,,515.8,,6574.0,,,113.3,1408.5,,,45,180.3,89.8,H,M
15848,,,,,,,,7580.0,,,,,,,41,,,H,M
15849,,,,,,,,6902.0,,,,,,,48,188.0,93.0,H,M
15850,,,206.6,2368.2,,431.1,5255.3,7818.0,1141.0,,,1154.3,,1394.3,52,182.9,89.8,H,M
15851,,,332.3,,,454.9,,,,,,1247.4,,1627.8,42,188.0,102.1,H,M
15852,,,,,,507.7,,6904.0,,,,1294.3,,,52,,,H,M
15853,,,,2820.0,,,,,,,,,,,45,,,H,M
15854,,,,,,,,,,,,1377.2,,,64,188.0,83.9,H,M
15855,,17.8,,,,487.9,,,1044.0,,113.1,,,,75,177.8,80.7,H,M
15856,,,275.7,,,,,,,,,,,,33,,,H,M
15857,313.0,17.7,206.9,,,437.3,5672.3,,1181.0,,102.0,,,1521.7,34,193.0,97.5,H,M
15858,,,215.5,,,444.7,,,,,98.8,,,,51,193.0,93.0,H,M
15859,,,,,,,,6471.0,,,,,,,48,,,L,M
15860,,,308.5,,,,,,,,,,,,39,152.4,81.6,H,F
15861,,,,,,498.0,,,,,,,,,17,,,H,F
15862,306.0,17.8,282.3,2702.6,,465.4,,,,,100.5,1197.8,,1589.5,60,190.5,113.4,H,M
15863,,,,,,511.8,,,,,117.4,1390.9,,,45,,,H,M
15864,,,,,,,,,,,,1206.5,,,39,,,H,M
15865,,,,,,,5362.5,,,,,,,,51,,,L,M
15866,,,,,,,,,,,102.0,,,,46,,,H,M
15867,,,,,,,,7320.0,,,,,,,19,188.0,71.7,L,M
15868,,22.4,,,,,,6104.0,,,,,,,35,,,H,F
15869,,,217.0,,,452.0,,,,,101.4,1184.3,,,56,,,H,M
15870,,,,,,,,7444.0,,,,,,,54,,,H,M
15871,,,,2378.6,,439.5,,,,,,,,,53,,,H,M
15872,,,,,,,,7408.0,,,,,,,27,182.9,120.2,H,M
15873,308.0,15.4,217.0,2471.9,,478.4,,7373.0,,,109.5,1336.2,,,34,,,H,M
15874,,,,,,,,,,,,1459.3,,,38,180.3,91.2,H,M
15875,,,,,,,,,,,96.2,,,,37,180.3,95.3,H,M
15876,,,216.5,,,,,,,,,,,1322.7,17,188.0,72.6,H,M
15877,,,,,,,,,,,,1374.7,,,50,,,H,M
15878,,,207.2,,,434.3,,,,,95.8,1160.9,,,49,177.8,71.2,L,M
15879,299.0,,231.4,2535.8,,465.8,5516.3,7131.0,,,,1190.1,,1492.9,53,190.5,142.9,H,M
15880,,,,,,,,,,,,1421.1,,,51,,,H,F
15881,,,,,,,4895.9,7300.0,,,,,15205.0,,52,190.5,79.8,H,M
15882,,,,,,,,7502.0,,,,1148.4,,,45,185.4,,H,M
15883,,,,,,,,7788.0,,,,,,,42,193.0,91.2,H,M
15884,317.0,,,,,,,6947.0,,,,,,,48,177.8,86.2,H,M
15885,309.0,,213.1,2388.7,,,,,,,,,,,62,182.9,87.1,H,M
15886,,,,,,,5369.1,,,,,,,,53,190.5,95.3,H,M
15887,,,,,,,,6443.0,,,,,,,54,172.7,71.2,L,M
15888,,,,,,415.0,,,,,,,,,48,,,H,M
15889,252.0,,222.6,,,486.3,,7563.0,,,109.0,1297.9,,1530.2,51,180.3,78.0,H,M
15890,,,,2811.1,,487.9,,6319.0,,,,,,,50,,,H,F
15891,,,201.8,2329.7,,420.0,5304.6,6543.0,,,93.4,1114.6,12711.0,,43,182.9,83.0,H,M
15892,,,,,,,,,,,,1342.4,,1562.5,44,,,H,M
15893,,,243.2,2635.1,,509.7,5899.9,,,,,1283.2,,,55,,,H,M
15894,,,,2574.1,,,,,,,,,,,42,,,H,M
15895,182.0,,246.8,2727.3,,,,6174.0,,,,1422.2,,1846.8,48,182.9,93.0,H,M
15896,,,,,,,,7120.0,,,,,,,55,,,H,M
15897,323.0,,219.7,2574.2,,464.6,,7354.0,,,96.5,1177.0,,1457.7,47,185.4,88.5,H,M
15898,,,,,,,,6855.0,,,,,,,41,,,H,F
15899,,,,,,,,7483.0,,,,,,,53,,,H,M
15900,313.0,,232.4,,,517.1,6297.2,7324.0,,,108.7,1321.2,,,48,182.9,85.3,H,M
15901,,,,2721.8,,,,6655.0,,,,1321.3,,,41,,,H,M
15902,,,,,,,,,,,,,,,56,,,L,M
15903,,,,2374.0,,,5329.5,,,11011.8,,,14320.0,,21,,,H,M
15904,,,,,,,,6325.0,,,97.3,1230.9,,,54,,,H,M
15905,,,,,,,,5506.0,,,,,,,42,190.5,88.9,H,M
15906,,,,,,,,6387.0,,,,,,,52,182.9,73.0,L,M
15907,,,195.1,,,,,7612.0,1182.0,,90.3,,,,52,185.4,86.2,H,M
15908,237.0,23.7,299.0,,,668.7,,5325.0,809.0,,137.5,1689.0,,,70,160.0,64.4,H,F
15909,,,,3143.0,,,,6213.0,,,,,,,57,,,L,F
15910,,,,2819.7,,,,6323.0,,,,,,,44,177.8,72.1,L,M
15911,,,,2359.0,,,,,,,,,,,43,,,H,M
15912,,,,,,414.9,,,,,,,,,53,182.9,70.3,L,M
15913,,,,,,,,6035.0,,,,1544.3,,,35,190.5,99.8,H,M
15914,,,,,,,,,,,,1274.0,,,63,,,H,M
15915,,,224.5,2507.7,,452.8,5813.0,7389.0,,,94.5,1204.1,,1478.7,49,170.2,99.8,H,M
15916,,,,,,477.8,,,,,,1271.0,,,20,,,L,F
15917,,,,3181.2,,,,,,,,,,,45,152.4,56.7,L,F
15918,,,322.3,,,,,,,,,,,,48,,,H,M
15919,,,,,,,,,,,109.7,,,,48,170.2,65.8,L,M
15920,,,192.6,,,,,,,,,,,,45,185.4,79.4,H,M
15921,,,,,,,,7093.0,,,,,,,39,,,H,M
15922,,,208.6,,,,,,,,,1188.9,,,37,185.4,102.1,H,M
15923,,,,,,,,6523.0,,,,,,,35,195.6,131.5,H,M
15924,,,182.0,,,,,,,,,,,,26,,,H,M
15925,,15.5,,,,,,,,,,1164.9,,,43,182.9,130.6,H,M
15927,266.0,21.2,292.1,,,641.1,,5215.0,843.0,,134.7,,,,83,170.2,68.0,L,M
15928,,,238.2,,,480.0,,,,,,1291.5,,,64,172.7,70.8,L,M
15929,,,,,,,,,,,,1316.8,,,40,,,H,M
15930,369.0,15.3,,,,407.6,,7688.0,1209.0,,82.6,1145.6,,,36,,,H,M
