,profile_id,result_1,result_100,result_1000,result_10000,result_100000,result_2000,result_21097,result_30,result_4,result_42195,result_500,result_5000,result_60,result_6000,adaptive rowing category,age,height,weight,weight_class,gender
67,1511,,,,2408.8,,,,,,,,,,,able,67,,86.2,L,M
68,1513,328.0,,206.6,2316.3,,,,,,,,,,1362.9,able,56,,79.4,H,M
69,1538,,,,,,556.0,,,,,,,,,able,58,,62.1,H,F
70,1540,,,239.7,,,,,,,,,,,,able,79,188.0,95.3,H,M
71,1587,,,239.0,2604.6,,459.9,5907.1,7147.0,,,107.1,1247.7,,,able,58,,73.9,H,M
72,1593,,,,,,422.3,,,,,90.2,,,,able,62,,99.8,H,M
73,1599,,,,3317.3,,522.2,,6372.0,,,165.5,,10271.0,,able,63,,94.8,H,M
74,1617,277.0,,,,,,,,,,,,,,able,61,,103.9,H,M
75,1714,,,,,,,,7106.0,,,,,,,able,56,,73.9,H,F
76,1723,263.0,,251.7,,,543.0,,6435.0,,,118.6,1371.0,,,able,76,182.9,89.8,H,M
77,1768,,,,2874.9,,,,6739.0,,,,1278.6,13317.0,1596.4,able,52,180.3,117.9,H,M
78,1808,,,,,,572.7,,,,,,,,,able,75,177.8,90.3,H,M
79,1845,343.0,15.4,,2305.4,,419.1,,,,,89.5,1104.6,,,able,53,180.3,97.1,H,M
80,1872,,17.9,,,,,,,,,,,,,able,51,,15.9,H,M
81,1917,,16.0,,2546.7,,474.1,,7182.0,,,90.8,1214.1,13114.0,1526.8,able,45,182.9,122.5,H,M
82,1918,,,,,,454.9,,7567.0,,,,1179.9,,,able,64,,73.5,L,M
83,1945,,,,,,,,,,,116.9,,,,able,61,175.3,57.2,L,F
84,1981,283.0,19.5,266.7,2880.7,,546.8,,6328.0,,,115.8,1409.2,12419.0,1709.6,able,74,180.3,86.2,H,M
85,1997,,,,3163.3,,,,6573.0,,,,1369.5,11320.0,1912.5,able,66,,107.0,H,M
86,2041,,,,,,579.0,,,,,,,,,able,65,170.2,89.4,H,M
87,2120,,,,2365.9,,,5140.3,,,,,1153.2,,,able,63,172.7,75.8,H,M
88,2143,,,,,,,,7527.0,,,,,,,able,40,175.3,89.8,H,M
89,2222,298.0,,227.4,2642.3,,468.3,6064.6,6959.0,1052.0,11758.7,106.8,1262.7,13190.0,1517.0,able,73,177.8,66.2,L,M
90,2225,,,,2625.9,,474.9,,7120.0,,,105.9,1259.1,,,able,65,,75.8,H,M
91,2332,,,,,,,,,,,,1281.4,,,able,75,,82.1,H,M
92,2386,300.0,,233.4,2608.8,,,,7156.0,,,,,,1469.4,able,74,188.0,78.5,L,M
93,2390,,,,2392.8,,,,,,,,1152.2,14736.0,,able,54,,85.3,H,M
94,2392,,,,,,559.2,,,,,,,,,able,55,177.8,77.1,H,F
95,2445,,,,,,539.5,,5842.0,,,109.2,,,,able,64,182.9,87.1,H,M
96,2453,,,,4133.5,,,,,,,,,,,able,86,,59.9,H,F
97,2483,,18.5,,,,509.3,,6717.0,,,113.4,1332.9,,,able,55,180.3,93.9,H,M
98,2552,,,,,,515.7,,,,,,,,,able,61,,84.4,H,M
99,2633,270.0,,232.2,2473.2,,465.9,5509.0,,,,,1198.6,14130.0,,able,60,,69.9,L,M
100,2634,,,,,,,5825.9,6797.0,,,,1354.7,12996.0,,able,77,170.2,76.2,H,M
101,2672,,,,,,,,,,,,1128.9,,,able,49,203.2,99.8,H,M
102,2716,,,216.5,2340.7,,442.7,,7620.0,,,,1157.5,15111.0,,able,61,182.9,68.9,L,M
103,2721,281.0,,230.2,2396.9,,455.8,5149.0,7490.0,1068.0,,110.4,,14786.0,1438.4,able,60,175.3,70.3,L,M
104,2813,,,,,,477.8,,7030.0,,,,1216.2,,,able,67,,93.0,H,M
105,2824,,,,2595.4,,,,7004.0,,,,1315.5,13427.0,1565.1,able,58,,88.0,H,M
106,2854,,,212.8,,,469.8,,7107.0,,,,1253.0,,,able,50,188.0,122.5,H,M
107,2867,,,,,,,,6839.0,,,,,13212.0,,able,81,,79.8,H,M
108,2944,,,,,,525.1,,,,,,,,,able,72,177.8,66.2,L,M
109,2955,,,,,,,,7614.0,,,,,,,able,59,,79.8,L,M
110,2977,,,,3011.0,,,,6345.0,,,,1422.7,,,able,58,,72.6,H,M
111,3132,,,199.6,,,,,,,,,,,,able,43,177.8,72.1,L,M
112,3304,,,258.4,,,,,6012.0,,,,,,,able,47,,112.9,H,M
113,3320,,,220.6,2534.3,,,,,,,,1252.7,,,able,71,,95.3,H,M
114,3347,,,193.6,,,,,,,,,1104.5,,1356.2,able,39,,83.5,H,M
115,3384,,,,2508.0,,,,7029.0,,,,1216.0,,,able,52,,94.8,H,M
116,3506,,,,2427.6,,,,7552.0,,,,,,,able,49,188.0,99.3,H,M
117,3566,295.0,,219.6,2486.0,,439.2,5429.7,7220.0,,,,1199.3,,,able,63,188.0,86.2,H,M
118,3582,,,,2154.8,,,5271.5,,,,,,,,able,60,193.0,95.3,H,M
119,3599,,,,2408.5,,,5369.9,7503.0,,,100.1,,,,able,61,,77.1,H,M
120,3637,322.0,,,,,,,7761.0,,,97.5,1162.6,,,able,40,175.3,67.1,L,M
121,3652,,,,,,,,6815.0,,,,,,,able,69,,89.8,H,M
122,3691,319.0,17.9,237.0,2728.1,,508.7,6267.8,,,,104.5,1333.2,12424.0,,able,71,182.9,97.5,H,M
123,3781,329.0,16.8,228.9,,,472.2,,,1052.0,,99.7,1326.1,,,able,73,177.8,73.5,L,M
124,3862,,,,2317.1,,445.2,,,,,,1135.3,,1378.7,able,66,185.4,83.9,H,M
125,3899,,,218.6,,,489.5,5875.7,7038.0,1042.0,,,1287.1,,,able,50,182.9,91.2,H,M
126,3906,,,,,,,,6065.0,,,,1575.0,,,able,86,,83.9,H,M
127,3975,,,225.9,2386.0,,463.3,5261.6,7555.0,,,107.4,1194.7,14704.0,1425.6,able,73,188.0,87.1,H,M
128,4063,,,,,,459.0,,7125.0,,,,1218.4,,1574.4,able,48,,110.2,H,M
129,4132,,,,,,602.6,,5384.0,,,133.8,1614.3,,,PR3 (PD),65,160.0,54.4,L,M
130,4245,,,,2534.0,,,5635.0,7023.0,,,,1266.0,,,able,54,190.5,97.1,H,M
131,4246,356.0,,,,,,,,1089.0,,,,,,able,49,193.0,104.8,H,M
132,4567,,,,,,536.2,,,,,,1408.0,,1690.0,able,88,177.8,72.6,L,M
133,4573,,,,,,,6162.6,6754.0,,,,1282.8,,1530.6,able,54,190.5,110.2,H,M
134,4691,,,283.4,3424.4,,553.9,,6032.0,,,133.2,1544.5,10726.0,1851.0,able,76,182.9,83.9,H,M
135,4724,,,,,,,,,,,,,,2280.0,able,76,193.0,110.2,H,M
136,4764,321.0,18.1,207.7,,,437.2,,8065.0,1111.0,,94.9,1133.9,,,able,61,,97.5,H,M
137,4818,,18.8,,2391.1,,456.9,5264.3,7661.0,,,104.2,1166.6,14906.0,1408.6,able,65,170.2,68.5,L,M
138,4863,360.0,,,,,426.8,5244.1,7843.0,1180.0,11016.6,,1153.0,14915.0,1369.1,able,57,,86.2,H,M
139,4926,,,209.2,2328.0,,,5211.3,,,,,1111.1,,,able,63,193.0,95.3,H,M
140,4982,,,,,,,,7540.0,,,,,,,able,54,180.3,89.8,H,M
141,5122,,,221.7,2544.4,,461.0,5434.8,7209.0,,,104.7,1238.4,14120.0,1483.4,able,60,172.7,72.6,L,M
142,5133,298.0,19.1,228.2,2443.0,,467.3,,,1007.0,,103.1,1182.6,,1435.6,able,52,175.3,88.0,H,M
143,5146,,,,,,,,,,,,1321.6,,1583.0,able,70,,66.2,L,M
144,5177,286.0,,,,,,,,,,107.1,,,,able,66,,79.8,H,M
145,5191,,,,,,,,6593.0,,,,,,,able,61,,97.5,H,M
146,5230,,,,2828.9,,506.4,,5639.0,,,,,,,able,65,193.0,99.8,H,M
147,5279,,,,,,,,,,,,,,1746.8,able,74,,83.9,H,M
148,5282,,,228.9,2716.5,,464.0,,6730.0,,,,1229.7,,,able,54,180.3,72.6,L,M
149,5397,,,,2562.8,,464.5,,,,,,1197.3,,,able,45,,99.8,H,M
150,5421,,,,2699.4,,,,6772.0,,,,1301.0,,,able,61,188.0,87.1,H,M
151,5513,,,,2235.3,,,,,,,,,,,able,55,,106.6,H,M
152,5553,,,,2527.6,,451.8,,7517.0,,,,1192.9,13469.0,,able,50,182.9,75.8,H,M
153,5657,,,,2697.2,,,,,,,,1353.5,,,able,81,177.8,79.4,H,M
154,5677,,,,,,499.3,,,,,,1406.5,,,able,57,177.8,118.8,H,M
155,5683,,,,2454.0,,,,7530.0,,12345.0,,1200.2,,,able,54,190.5,97.5,H,M
156,5749,,,,,,,5629.0,7383.0,,,,,,,able,59,,92.1,H,M
157,5757,362.0,,,,,,,,,,,,,,able,65,198.1,122.0,H,M
158,5795,,,,2436.3,,475.7,,,,,88.9,1173.2,,,able,53,180.3,88.9,H,M
159,5871,,,,,,,,6477.0,,,,1316.0,,,able,63,,89.8,H,M
160,5901,,,,,,,,6289.0,,,,,,,able,68,,113.4,H,M
161,5996,,,,,,508.0,,,,,,,,,able,66,,79.8,H,M
162,6059,324.0,,,,,449.2,,,1131.0,,94.9,,,1466.9,able,62,188.0,86.2,H,M
163,6115,322.0,17.5,220.9,2497.7,,450.5,5460.8,7308.0,1107.0,,98.7,1218.7,13994.0,1435.8,able,67,193.0,99.8,H,M
164,6127,,,,,,,5513.3,,,,,,,,able,60,,91.2,H,M
165,6168,287.0,19.9,224.8,,,458.7,,7251.0,1044.0,,95.0,,,,able,53,180.3,73.5,L,M
166,6188,,,,,,,,5931.0,,,,,,,able,76,185.4,98.0,H,M
167,6217,,,,2736.2,,,,6645.0,,,,,12880.0,,able,73,185.4,74.8,L,M
168,6228,,,,,,,5568.7,,,11295.5,,,,,able,55,,81.2,H,M
169,6245,,,,,,418.6,,,,,,,,1359.0,able,54,,87.1,H,M
170,6253,,,199.6,2356.7,,,5123.9,,,11388.5,98.7,1148.5,15032.0,1425.4,able,50,180.3,90.7,H,M
171,6361,,,289.5,,,,7630.0,,,,,,,,able,54,,66.7,H,F
172,6401,,,,,,,,7259.0,,,,,14317.0,,able,48,170.2,71.7,L,M
173,6409,,,,,,,,,,,,1252.7,,1512.6,able,64,,74.8,H,M
174,6466,,,,,,,,,,,115.6,,,,able,61,175.3,73.5,L,M
175,6545,,,,,,454.5,,,,,,,,,able,54,185.4,83.9,H,M
176,6587,,,248.1,,,506.3,,,,,129.3,1326.4,,,able,63,193.0,111.6,H,M
177,6621,,,,2647.0,,,,,,,,,,,able,47,,78.0,H,F
178,6636,,,,,,385.8,,8561.0,1260.0,,87.4,,,1233.0,able,46,188.0,73.0,L,M
179,6648,,,,2970.6,,,,5966.0,,,,1580.6,11650.0,,able,70,182.9,77.6,H,M
180,6654,,,,2379.6,,455.5,,,,,,,,,able,62,185.4,84.8,H,M
181,6678,,,,2628.1,,,,,,,,1318.5,,,able,64,177.8,89.8,H,M
182,6693,,,355.3,,,,,,,,,,,,able,81,172.7,68.0,L,M
183,6714,,,,2685.0,,,,,,,,1307.1,,1566.5,able,62,175.3,87.1,H,M
184,6715,,,,2679.4,,,,,,,,,12925.0,,able,56,,94.8,H,M
185,6717,,,,,,,,,,,,1341.0,,,able,53,180.3,96.6,H,M
186,6727,,,,,,,,6271.0,,,,1454.7,,,able,64,,80.7,H,M
187,6739,,,198.6,2395.2,,432.9,5312.0,7911.0,,10882.0,90.9,1176.6,14352.0,1381.6,able,60,193.0,105.7,H,M
188,6743,,,,3603.7,,759.8,,,,,,1712.9,,,able,65,,78.0,H,F
189,6763,284.0,,232.6,2926.7,,,,,,,,1258.1,,1719.7,able,50,,90.7,H,M
190,6786,,,,,,,,,,,,1271.0,,,able,58,,99.8,H,M
191,6832,,,,,,,,6354.0,,,,1375.9,,,able,79,193.0,89.4,H,M
192,6844,,,,2358.1,,433.5,5159.9,,1118.0,10783.1,,1136.5,,,able,49,185.4,84.8,H,F
193,6888,,,,2375.8,,,,7634.0,,,,1190.0,,1430.0,able,54,180.3,84.8,H,M
194,6908,,,,,,,,6886.0,,,,,,,able,53,,93.9,H,M
